ID,Time,PLCCellID_CE,PLCCellIDClass_CE,BacirEchk_CE,MESSENDOUTCELLPOS,MESSENDOUTCELLID,PLCTrayID_CE,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE,PLCStartTime_CE,PLCCompleteTme_CE,mOhm
1789705,2026/8/12 16:40,MW2045B33955,A24,NULL,7,                    ,A14761,3.24E+00,1.17E-03,18238,NULL,268,0.00088
1789704,2026/8/12 16:40,MW2044B23287,ANZ,NULL,18,NULL,A22886,3.24E+00,7.60E-04,18664,NULL,268,0.00021
1789703,2026/8/12 16:40,MW2045B33952,A25,NULL,8,                    ,A14761,3.24E+00,1.04E-03,18139,NULL,268,0.00075
1789702,2026/8/12 16:39,MW2045B30131,B23,NULL,13,NULL,A16065,3.24E+00,8.30E-04,18668,NULL,268,0.00004
1789701,2026/8/12 16:39,MW2045B30126,B23,NULL,13,                    ,A14761,3.24E+00,9.90E-04,18131,NULL,268,0.00047
1789700,2026/8/12 16:39,MW2045B33588,A25,NULL,8,NULL,A16065,3.23E+00,9.30E-04,18651,NULL,268,0.00085
1789699,2026/8/12 16:39,MW2045B33953,A24,NULL,7,                    ,A14761,3.24E+00,9.80E-04,18226,NULL,268,0.00014
1789698,2026/8/12 16:39,MW2045B33587,C24,NULL,24,NULL,A16065,3.23E+00,8.20E-04,18677,NULL,268,0.00091
1789697,2026/8/12 16:38,MW2045B33950,A24,NULL,7,                    ,A14761,3.24E+00,1.16E-03,18324,NULL,268,0.00026
1789696,2026/8/12 16:38,MW2045B33958,A23,NULL,6,NULL,A16065,3.24E+00,9.10E-04,18684,NULL,268,0.00068
1789695,2026/8/12 16:38,MW2045B33951,C24,NULL,24,                    ,A14761,3.24E+00,1.22E-03,18160,NULL,268,0.00069
1789694,2026/8/12 16:38,MW2045B29614,B24,NULL,14,NULL,A16065,3.24E+00,8.60E-04,18559,NULL,268,0.00075
1789693,2026/8/12 16:38,MW2045B31916,A25,NULL,8,                    ,A14761,3.23E+00,9.70E-04,18103,NULL,268,0.00045
1789692,2026/8/12 16:37,MW2045B33058,B24,NULL,14,NULL,A16065,3.24E+00,1.00E-03,18650,NULL,268,0.00057
1789691,2026/8/12 16:37,MW2045B30122,B23,NULL,13,                    ,A14761,3.24E+00,9.90E-04,18184,NULL,268,0.00072
1789690,2026/8/12 16:37,MW2045B33949,A24,NULL,7,                    ,A14761,3.24E+00,9.70E-04,18203,NULL,268,0.00007
1789689,2026/8/12 16:37,MW2045B33057,D23,NULL,29,NULL,A16065,3.24E+00,8.90E-04,18687,NULL,268,0.00011
1789688,2026/8/12 16:36,MW2044B23289,C23,NULL,23,                    ,A14761,3.24E+00,8.70E-04,18197,NULL,268,0.00017
1789687,2026/8/12 16:36,MW2045B29615,B24,NULL,14,NULL,A16065,3.24E+00,8.60E-04,18551,NULL,268,0.00046
1789686,2026/8/12 16:36,MW2044B23288,C23,NULL,23,                    ,A14761,3.24E+00,8.70E-04,18154,NULL,268,0.00023
1789685,2026/8/12 16:36,MW2045B33056,B23,NULL,13,NULL,A16065,3.24E+00,9.60E-04,18608,NULL,268,0.00055
1789684,2026/8/12 16:35,MW2045B33055,D23,NULL,29,NULL,A16065,3.24E+00,9.90E-04,18662,NULL,268,0.0009
1789683,2026/8/12 16:35,MW2045B33054,D24,NULL,30,NULL,A16065,3.24E+00,9.30E-04,18812,NULL,268,0.00018
1789682,2026/8/12 16:35,MW2045B30107,B22,NULL,12,                    ,A25131,3.24E+00,1.08E-03,18089,NULL,268,0.00052
1789681,2026/8/12 16:35,MW2045B29710,A21,NULL,4,NULL,A16065,3.24E+00,1.01E-03,18555,NULL,268,0.00068
1789680,2026/8/12 16:35,MW2045B30060,B25,NULL,15,                    ,A25131,3.24E+00,9.60E-04,18219,NULL,268,0.00039
1789679,2026/8/12 16:34,MW2045B30108,B22,NULL,12,NULL,A07490,3.24E+00,9.40E-04,18487,NULL,268,0.00053
1789678,2026/8/12 16:34,MW2045B30059,A24,NULL,7,                    ,A25131,3.24E+00,8.70E-04,18024,NULL,268,0.00082
1789677,2026/8/12 16:34,MW2045B30095,B23,NULL,13,NULL,A07490,3.24E+00,8.90E-04,18611,NULL,268,0.00011
1789676,2026/8/12 16:34,MW2045B30057,B24,NULL,14,                    ,A25131,3.24E+00,9.50E-04,18169,NULL,268,0.00009
1789675,2026/8/12 16:33,MW2045B30056,B26,NULL,16,                    ,A25131,3.23E+00,8.20E-04,18052,NULL,268,0.00006
1789674,2026/8/12 16:33,MW2045B30076,B23,NULL,13,NULL,A07490,3.24E+00,8.70E-04,18529,NULL,268,0.00075
1789673,2026/8/12 16:33,MW2045B30055,B25,NULL,15,                    ,A25131,3.24E+00, ,18185,NULL,268,0.00029
1789672,2026/8/12 16:33,MW2045B43435,A26,NULL,9,NULL,A07490,3.24E+00, ,18888,NULL,268,0.0001
1789671,2026/8/12 16:32,MW2045B30054,A24,NULL,7,                    ,A25131,3.24E+00, ,18166,NULL,268,0.00048
1789670,2026/8/12 16:32,MW2045B26790,B25,NULL,15,NULL,A07490,3.24E+00, ,18465,NULL,268,0.00018
1789669,2026/8/12 16:32,MW2045B26777,A25,NULL,8,                    ,A25131,3.23E+00,1.01E-03,18108,NULL,268,0.00033
1789668,2026/8/12 16:32,MW2045B43436,A25,NULL,8,NULL,A07490,3.24E+00,8.70E-04,18778,NULL,268,0.00089
1789667,2026/8/12 16:32,MW2045B26776,B25,NULL,15,                    ,A25131,3.24E+00,1.00E-03,18012,NULL,268,0.00059
1789666,2026/8/12 16:31,MW2045B43439,C25,NULL,25,NULL,A07490,3.24E+00,1.12E-03,18842,NULL,268,0.00082
1789665,2026/8/12 16:31,MW2045B26803,B25,NULL,15,                    ,A25131,3.24E+00,1.00E-03,18169,NULL,268,0.00057
1789664,2026/8/12 16:31,MW2045B43438,A26,NULL,9,NULL,A07490,3.24E+00, ,18834,NULL,268,0.00076
1789663,2026/8/12 16:31,MW2045B26864,B23,NULL,13,                    ,A25131,3.24E+00,1.01E-03,18161,NULL,268,0.00007
1789662,2026/8/12 16:30,MW2045B43437,C26,NULL,26,NULL,A07490,3.24E+00,9.10E-04,18761,NULL,268,0.00012
1789661,2026/8/12 16:30,MW2045B34017,A24,NULL,7,                    ,A25131,3.24E+00,1.08E-03,18106,NULL,268,0.00001
1789660,2026/8/12 16:30,MW2045B07095,B24,NULL,14,NULL,A07490,3.24E+00,8.70E-04,18585,NULL,268,0.0001
1789659,2026/8/12 16:30,MW2045B31068,A25,NULL,8,                    ,A05672,3.24E+00,9.70E-04,18109,NULL,268,0.0003
1789658,2026/8/12 16:30,MW2045B30100,B24,NULL,14,NULL,A07490,3.24E+00,8.30E-04,18593,NULL,268,0.00061
1789657,2026/8/12 16:30,MW2045B34513,A24,NULL,7,                    ,A05672,3.23E+00,1.15E-03,18355,NULL,268,0.0006
1789656,2026/8/12 16:29,MW2045B34489,A24,NULL,7,                    ,A05672,3.23E+00,1.10E-03,18248,NULL,268,0.00068
1789655,2026/8/12 16:29,MW2045B30350,B23,NULL,13,NULL,A07490,3.24E+00,8.50E-04,18546,NULL,268,0.0002
1789654,2026/8/12 16:29,MW2045B34485,A24,NULL,7,                    ,A05672,3.24E+00,1.08E-03,18236,NULL,268,0.00019
1789653,2026/8/12 16:29,MW2045B33982,A24,NULL,7,NULL,A10302,3.24E+00,1.05E-03,18665,NULL,268,0.00004
1789652,2026/8/12 16:28,MW2045B34484,A24,NULL,7,                    ,A05672,3.23E+00,1.09E-03,18248,NULL,268,0.00099
1789651,2026/8/12 16:28,MW2045B33984,C26,NULL,26,NULL,A10302,3.23E+00,9.20E-04,18728,NULL,268,0.00055
1789650,2026/8/12 16:28,MW2045B34535,C25,NULL,25,                    ,A05672,3.23E+00,1.00E-03,18356,NULL,268,0.00066
1789649,2026/8/12 16:28,MW2045B33983,C24,NULL,24,NULL,A10302,3.24E+00,1.10E-03,18638,NULL,268,0.00029
1789648,2026/8/12 16:27,MW2045B34519,A24,NULL,7,                    ,A05672,3.23E+00,1.02E-03,18309,NULL,268,0.00056
1789647,2026/8/12 16:27,MW2045B24444,ANZ,NULL,18,NULL,A10302,3.24E+00,7.60E-04,18616,NULL,268,0.00013
1789646,2026/8/12 16:27,MW2045B34520,A23,NULL,6,                    ,A05672,3.23E+00,1.13E-03,18296,NULL,268,0.00032
1789645,2026/8/12 16:27,MW2045B10437,ANZ,NULL,18,NULL,A10302,3.24E+00,7.90E-04,18646,NULL,268,0.00084
1789644,2026/8/12 16:27,MW2045B30105,B23,NULL,13,                    ,A05672,3.24E+00,1.09E-03,18126,NULL,268,0.00031
1789643,2026/8/12 16:26,MW2045B24443,A24,NULL,7,NULL,A10302,3.24E+00,9.60E-04,18404,NULL,268,0.00058
1789642,2026/8/12 16:26,MW2045B30375,A24,NULL,7,                    ,A05672,3.24E+00,9.20E-04,18247,NULL,268,0.00033
1789641,2026/8/12 16:26,MW2045B24441,A25,NULL,8,NULL,A10302,3.24E+00,9.30E-04,18608,NULL,268,0.00044
1789640,2026/8/12 16:26,MW2045B19585,A23,NULL,6,                    ,A05672,3.24E+00,1.08E-03,18178,NULL,268,0.00015
1789639,2026/8/12 16:25,MW2045B33073,O,NULL,1,NULL,A10302,0.00E+00,0.00E+00,18512,NULL,268,0.00048
1789638,2026/8/12 16:25,MW2045B30099,A22,NULL,5,                    ,A05672,3.23E+00,1.03E-03,18116,NULL,268,0.00069
1789637,2026/8/12 16:24,MW2045B32928,B23,NULL,13,                    ,A16967,3.24E+00,1.05E-03,18253,NULL,268,0.00097
1789636,2026/8/12 16:23,MW2045B31069,B25,NULL,15,                    ,A16967,3.24E+00,1.01E-03,18178,NULL,268,0.00022
1789635,2026/8/12 16:23,MW2045B31066,B26,NULL,16,                    ,A16967,3.24E+00,8.70E-04,18110,NULL,268,0.00074
1789634,2026/8/12 16:22,MW2045B32929,B23,NULL,13,                    ,A16967,3.24E+00,9.90E-04,18066,NULL,268,0.00054
1789633,2026/8/12 16:22,MW2045B31067,B25,NULL,15,                    ,A16967,3.24E+00,9.70E-04,18090,NULL,268,0.00006
1789632,2026/8/12 16:22,MW2045B32951,B23,NULL,13,                    ,A16967,3.24E+00,9.80E-04,18257,NULL,268,0.0003
1789631,2026/8/12 16:21,MW2045B34506,A24,NULL,7,                    ,A16967,3.23E+00,1.13E-03,18263,NULL,268,0.00009
1789630,2026/8/12 16:21,MW2045B07099,A26,NULL,9,                    ,A16967,3.24E+00,9.50E-04,17923,NULL,268,0.00039
1789629,2026/8/12 16:21,MW2045B34505,A25,NULL,8,                    ,A16967,3.23E+00,1.01E-03,18306,NULL,268,0.00097
1789628,2026/8/12 16:20,MW2045B34504,C24,NULL,24,                    ,A16967,3.23E+00,1.12E-03,18209,NULL,268,0.00041
1789627,2026/8/12 16:20,MW2045B33998,A23,NULL,6,                    ,A16967,3.24E+00,1.24E-03,18059,NULL,268,0.00051
1789626,2026/8/12 16:19,MW2045B34020,A25,NULL,8,                    ,A16967,3.24E+00,8.90E-04,18255,NULL,268,0.00089
1789625,2026/8/12 16:19,MW2045B32952,B24,NULL,14,                    ,A16368,3.24E+00,1.04E-03,18109,NULL,268,0.00098
1789624,2026/8/12 16:19,MW2045B26870,B23,NULL,13,                    ,A16368,3.24E+00,1.07E-03,18072,NULL,268,0.00047
1789623,2026/8/12 16:18,MW2045B26869,B23,NULL,13,                    ,A16368,3.24E+00,9.80E-04,18107,NULL,268,0.0005
1789622,2026/8/12 16:18,MW2045B20644,A26,NULL,9,                    ,A16368,3.24E+00,8.20E-04,18327,NULL,268,0.0006
1789621,2026/8/12 16:17,MW2045B26867,C23,NULL,23,                    ,A16368,3.23E+00,1.00E-03,18067,NULL,268,0.00077
1789620,2026/8/12 16:17,MW2045B26866,B23,NULL,13,                    ,A16368,3.24E+00,1.04E-03,18146,NULL,268,0.00093
1789619,2026/8/12 16:17,MW2045B32933,B23,NULL,13,                    ,A16368,3.24E+00,1.08E-03,18143,NULL,268,0.00004
1789618,2026/8/12 16:16,MW2045B34511,C25,NULL,25,                    ,A16368,3.23E+00,1.03E-03,18323,NULL,268,0.00048
1789617,2026/8/12 16:16,MW2045B32930,B24,NULL,14,                    ,A16368,3.24E+00,1.00E-03,18053,NULL,268,0.00089
1789616,2026/8/12 16:15,MW2045B34510,A24,NULL,7,                    ,A16368,3.23E+00,1.09E-03,18176,NULL,268,0.00096
1789615,2026/8/12 16:15,MW2045B32931,B23,NULL,13,                    ,A16368,3.24E+00,1.06E-03,18114,NULL,268,0.00031
1789614,2026/8/12 16:14,MW2045B34502,A25,NULL,8,                    ,A16368,3.23E+00,9.60E-04,18340,NULL,268,0.00011
1789613,2026/8/12 16:14,MW2045B43489,C26,NULL,26,                    ,A05153,3.24E+00,1.28E-03,18378,NULL,268,0.00031
1789612,2026/8/12 16:14,MW2045B43458,A25,NULL,8,                    ,A05153,3.23E+00,1.20E-03,18181,NULL,268,0.00029
1789611,2026/8/12 16:13,MW2045B20535,CHH,NULL,20,                    ,A05153,3.23E+00,8.40E-04,18393,NULL,268,0.00077
1789610,2026/8/12 16:13,MW2041B16903,CHH,NULL,20,                    ,A05153,3.22E+00,8.60E-04,18404,NULL,268,0.00052
1789609,2026/8/12 16:12,MW2040B03580,A22,NULL,5,                    ,A05153,3.23E+00,1.16E-03,18202,NULL,268,0.00042
1789608,2026/8/12 16:12,MW2045B33197,A25,NULL,8,                    ,A05153,3.24E+00,1.04E-03,18282,NULL,268,0.00001
1789607,2026/8/12 16:12,MW2045B33036,B22,NULL,12,                    ,A05153,3.24E+00,1.05E-03,18104,NULL,268,0.00066
1789606,2026/8/12 16:11,MW2045B33037,A23,NULL,6,                    ,A05153,3.24E+00,1.05E-03,18447,NULL,268,0.00072
1789605,2026/8/12 16:11,MW2045B33062,B23,NULL,13,                    ,A05153,3.24E+00,1.09E-03,18090,NULL,268,0.00092
1789604,2026/8/12 16:10,MW2045B33063,D24,NULL,30,                    ,A05153,3.24E+00,1.08E-03,18143,NULL,268,0.00044
1789603,2026/8/12 16:10,MW2045B33064,B23,NULL,13,                    ,A05153,3.24E+00,1.13E-03,18083,NULL,268,0.00001
1789602,2026/8/12 16:10,MW2045B33065,D24,NULL,30,                    ,A05153,3.24E+00,1.08E-03,18067,NULL,268,0.00007
1789601,2026/8/12 16:09,MW2045B33047,B24,NULL,14,                    ,A02172,3.24E+00,1.09E-03,18036,NULL,268,0.0008
1789600,2026/8/12 16:09,MW2045B33072,B24,NULL,14,                    ,A02172,3.24E+00,1.08E-03,18124,NULL,268,0.00046
1789599,2026/8/12 16:08,MW2044B23291,A25,NULL,8,                    ,A02172,3.24E+00,8.70E-04,18124,NULL,268,0.00036
1789598,2026/8/12 16:08,MW2045B26842,A25,NULL,8,                    ,A02172,3.24E+00,1.02E-03,18115,NULL,268,0.00098
