ID,Time,PLCCellID_CE,PLCCellIDClass_CE,BacirEchk_CE,MESSENDOUTCELLPOS,MESSENDOUTCELLID,PLCTrayID_CE,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE,PLCStartTime_CE,PLCCompleteTme_CE,mOhm
1789094,2026/8/12 14:00,MW2044B13043,A23,NULL,6,                    ,A23004,3.24E+00,1.05E-03,18071,NULL,268,0.00014
1789093,2026/8/12 14:00,MW2044B20723,A25,NULL,8,NULL,A01363,3.24E+00,8.90E-04,18613,NULL,268,0.00003
1789092,2026/8/12 14:00,MW2044B13094,C23,NULL,23,                    ,A23004,3.24E+00,1.03E-03,18056,NULL,268,0.00083
1789091,2026/8/12 14:00,MW2044B20725,A22,NULL,5,NULL,A01363,3.24E+00,1.09E-03,18635,NULL,268,0.00084
1789090,2026/8/12 13:59,MW2045B47916,A26,NULL,9,                    ,A00786,3.24E+00,8.90E-04,18261,NULL,268,0.00063
1789089,2026/8/12 13:59,MW2045B50410,ANZ,NULL,18,NULL,A01363,3.24E+00,7.40E-04,18537,NULL,268,0.00086
1789088,2026/8/12 13:59,MW2045B47918,A27,NULL,10,                    ,A00786,3.23E+00,8.70E-04,18244,NULL,268,0.00037
1789087,2026/8/12 13:59,MW2044B20724,A21,NULL,4,NULL,A01363,3.24E+00,1.17E-03,18763,NULL,268,0.00076
1789086,2026/8/12 13:59,MW2045B47919,A26,NULL,9,                    ,A00786,3.24E+00,9.30E-04,18185,NULL,268,0.00016
1789085,2026/8/12 13:58,MW2045B50576,ANZ,NULL,18,NULL,A01363,3.24E+00,7.50E-04,18452,NULL,268,0.00045
1789084,2026/8/12 13:58,MW2044B20269,A25,NULL,8,                    ,A00786,3.24E+00,8.60E-04,18221,NULL,268,0.00021
1789083,2026/8/12 13:58,MW2044B20727,A22,NULL,5,NULL,A01363,3.24E+00,1.07E-03,18569,NULL,268,0.00004
1789082,2026/8/12 13:58,MW2044B20302,A25,NULL,8,                    ,A00786,3.24E+00,8.80E-04,18015,NULL,268,0.00001
1789081,2026/8/12 13:57,MW2045B50563,ANZ,NULL,18,NULL,A01363,3.24E+00,7.80E-04,18657,NULL,268,0.00058
1789080,2026/8/12 13:57,MW2045B50372,B21,NULL,11,                    ,A00786,3.24E+00,1.53E-03,18241,NULL,268,0.00085
1789079,2026/8/12 13:57,MW2044B16733,A26,NULL,9,                    ,A00786,3.24E+00,1.00E-03,18342,NULL,268,0.00018
1789078,2026/8/12 13:57,MW2044B17270,C21,NULL,21,NULL,A01363,3.24E+00,1.40E-03,18684,NULL,268,0.00069
1789077,2026/8/12 13:57,MW2045B50419,A26,NULL,9,                    ,A00786,3.24E+00,8.70E-04,18105,NULL,268,0.00075
1789076,2026/8/12 13:57,MW2044B17674,A25,NULL,8,NULL,A01363,3.24E+00,1.05E-03,18663,NULL,268,0.00041
1789075,2026/8/12 13:56,MW2044B16128,C26,NULL,26,                    ,A00786,3.23E+00,1.00E-03,18347,NULL,268,0.00029
1789074,2026/8/12 13:56,MW2044B21165,A22,NULL,5,NULL,A01363,3.24E+00,1.03E-03,18464,NULL,268,0.00016
1789073,2026/8/12 13:56,MW2045B50349,B26,NULL,16,                    ,A00786,3.24E+00,9.20E-04,18305,NULL,268,0.00049
1789072,2026/8/12 13:56,MW2044B13093,ANZ,NULL,18,NULL,A01363,3.24E+00,7.80E-04,18625,NULL,268,0.0009
1789071,2026/8/12 13:55,MW2045B50348,A26,NULL,9,                    ,A00786,3.24E+00,8.70E-04,18166,NULL,268,0.00007
1789070,2026/8/12 13:55,MW2044B16126,A26,NULL,9,                    ,A00786,3.24E+00,9.50E-04,18312,NULL,268,0.00024
1789069,2026/8/12 13:50,MW2044B19155,A26,NULL,9,NULL,A13073,3.24E+00,9.00E-04,18571,NULL,268,0.00068
1789068,2026/8/12 13:50,MW2044B19486,A25,NULL,8,NULL,A13073,3.24E+00,9.00E-04,18629,NULL,268,0.00052
1789067,2026/8/12 13:49,MW2044B16617,A26,NULL,9,NULL,A13073,3.24E+00,8.30E-04,18606,NULL,268,0.00093
1789066,2026/8/12 13:49,MW2045B50675,A25,NULL,8,NULL,A13073,3.24E+00,9.80E-04,18579,NULL,268,0.00045
1789065,2026/8/12 13:49,MW2044B16624,A25,NULL,8,NULL,A13073,3.24E+00,9.70E-04,18493,NULL,268,0.00033
1789064,2026/8/12 13:48,MW2044B16622,A26,NULL,9,NULL,A13073,3.24E+00,8.50E-04,18638,NULL,268,0.00053
1789063,2026/8/12 13:48,MW2045B50792,A25,NULL,8,NULL,A13073,3.24E+00,9.20E-04,18428,NULL,268,0.00025
1789062,2026/8/12 13:47,MW2044B05557,A25,NULL,8,NULL,A13073,3.24E+00,8.20E-04,18565,NULL,268,0.00046
1789061,2026/8/12 13:47,MW2044B19040,A25,NULL,8,NULL,A13073,3.24E+00,8.40E-04,18342,NULL,268,0.00035
1789060,2026/8/12 13:46,MW2044B18940,A26,NULL,9,NULL,A13073,3.24E+00,8.70E-04,18713,NULL,268,0.0005
1789059,2026/8/12 13:46,MW2044B18921,A25,NULL,8,NULL,A13073,3.23E+00,8.90E-04,18651,NULL,268,0.00071
1789058,2026/8/12 13:45,MW2044B18922,A25,NULL,8,NULL,A13073,3.24E+00,8.20E-04,18526,NULL,268,0.00037
1789057,2026/8/12 13:40,MW2044B07755,A25,NULL,8,                    ,A03725,3.24E+00,1.01E-03,18424,NULL,268,0.00009
1789056,2026/8/12 13:40,MW2044B19592,A23,NULL,6,                    ,A03725,3.24E+00,1.43E-03,18443,NULL,268,0.00063
1789055,2026/8/12 13:39,MW2044B20872,A25,NULL,8,                    ,A03725,3.24E+00,1.06E-03,18314,NULL,268,0.00016
1789054,2026/8/12 13:39,MW2044B20873,A26,NULL,9,                    ,A03725,3.24E+00,9.40E-04,18236,NULL,268,0.00076
1789053,2026/8/12 13:38,MW2044B08004,A25,NULL,8,                    ,A03725,3.24E+00,1.03E-03,18367,NULL,268,0.0005
1789052,2026/8/12 13:38,MW2044B20874,A26,NULL,9,                    ,A03725,3.24E+00,8.80E-04,18173,NULL,268,0.00018
1789051,2026/8/12 13:38,MW2044B08111,A23,NULL,6,                    ,A03725,3.24E+00,1.21E-03,18488,NULL,268,0.00044
1789050,2026/8/12 13:37,MW2044B20875,A25,NULL,8,                    ,A03725,3.24E+00,1.09E-03,18432,NULL,268,0.00003
1789049,2026/8/12 13:37,MW2044B08110,A24,NULL,7,                    ,A03725,3.24E+00,1.11E-03,18380,NULL,268,0.00049
1789048,2026/8/12 13:36,MW2044B08031,A25,NULL,8,                    ,A03725,3.24E+00,1.03E-03,18468,NULL,268,0.00036
1789047,2026/8/12 13:36,MW2045B49848,ANZ,NULL,18,NULL,A18496,3.24E+00,8.00E-04,18483,NULL,268,0.00043
1789046,2026/8/12 13:36,MW2044B08109,A24,NULL,7,                    ,A03725,3.24E+00,1.11E-03,18468,NULL,268,0.00076
1789045,2026/8/12 13:36,MW2045B49847,ANZ,NULL,18,NULL,A18496,3.24E+00,7.70E-04,18599,NULL,268,0.0007
1789044,2026/8/12 13:36,MW2044B08150,A23,NULL,6,                    ,A03725,3.24E+00,1.04E-03,18319,NULL,268,0.00041
1789043,2026/8/12 13:35,MW2044B20711,A22,NULL,5,NULL,A18496,3.24E+00,1.19E-03,18566,NULL,268,0.0005
1789042,2026/8/12 13:35,MW2044B08084,A24,NULL,7,                    ,A21759,3.24E+00,1.11E-03,18459,NULL,268,0.0001
1789041,2026/8/12 13:35,MW2044B19497,A26,NULL,9,NULL,A18496,3.24E+00,1.01E-03,18728,NULL,268,0.00052
1789040,2026/8/12 13:35,MW2044B08058,A25,NULL,8,                    ,A21759,3.24E+00,1.03E-03,18446,NULL,268,0.00023
1789039,2026/8/12 13:34,MW2044B19496,A26,NULL,9,NULL,A18496,3.24E+00,9.60E-04,18678,NULL,268,0.00033
1789038,2026/8/12 13:34,MW2044B07825,A23,NULL,6,                    ,A21759,3.24E+00,1.20E-03,18414,NULL,268,0.00079
1789037,2026/8/12 13:34,MW2044B20720,A22,NULL,5,NULL,A18496,3.24E+00,1.09E-03,18460,NULL,268,0.00004
1789036,2026/8/12 13:34,MW2044B19462,A22,NULL,5,NULL,A18496,3.24E+00,1.19E-03,18597,NULL,268,0.00013
1789035,2026/8/12 13:33,MW2044B08059,A27,NULL,10,                    ,A21759,3.24E+00,9.50E-04,18507,NULL,268,0.00061
1789034,2026/8/12 13:33,MW2044B18472,A25,NULL,8,NULL,A18496,3.24E+00,1.07E-03,18440,NULL,268,0.00002
1789033,2026/8/12 13:32,MW2044B07810,A23,NULL,6,                    ,A21759,3.24E+00,1.21E-03,18319,NULL,268,0.00078
1789032,2026/8/12 13:32,MW2044B19461,A22,NULL,5,NULL,A18496,3.24E+00,1.19E-03,18523,NULL,268,0.00039
1789031,2026/8/12 13:32,MW2044B07809,A23,NULL,6,                    ,A21759,3.24E+00,1.24E-03,18312,NULL,268,0.00015
1789030,2026/8/12 13:32,MW2044B19460,ANZ,NULL,18,NULL,A18496,3.24E+00,7.70E-04,18403,NULL,268,0.00041
1789029,2026/8/12 13:31,MW2044B07817,A22,NULL,5,                    ,A21759,3.24E+00,1.22E-03,18333,NULL,268,0.0003
1789028,2026/8/12 13:31,MW2044B19459,ANZ,NULL,18,NULL,A18496,3.24E+00,7.50E-04,18455,NULL,268,0.00097
1789027,2026/8/12 13:31,MW2044B07885,A23,NULL,6,                    ,A21759,3.24E+00,1.10E-03,18431,NULL,268,0.00074
1789026,2026/8/12 13:31,MW2044B18729,A25,NULL,8,NULL,A18496,3.24E+00,9.70E-04,18540,NULL,268,0.00092
1789025,2026/8/12 13:31,MW2044B07757,A25,NULL,8,                    ,A21759,3.24E+00,1.05E-03,18395,NULL,268,0.00033
1789024,2026/8/12 13:30,MW2044B18923,ANZ,NULL,18,NULL,A17344,3.24E+00,8.00E-04,18536,NULL,268,0.00099
1789023,2026/8/12 13:30,MW2044B19590,A23,NULL,6,                    ,NULL,3.24E+00,1.31E-03,18327,NULL,268,0.00017
1789022,2026/8/12 13:30,MW2044B19590,A23,NULL,6,                    ,NULL,3.24E+00,1.31E-03,18327,NULL,268,0.00089
1789021,2026/8/12 13:30,MW2044B15853,C24,NULL,24,NULL,A17344,3.23E+00,9.70E-04,18446,NULL,268,0.00087
1789020,2026/8/12 13:29,MW2044B15854,A23,NULL,6,NULL,A17344,3.24E+00,1.04E-03,18295,NULL,268,0.0009
1789019,2026/8/12 13:29,MW2044B19100,ANZ,NULL,18,NULL,A17344,3.24E+00,7.60E-04,18409,NULL,268,0.00088
1789018,2026/8/12 13:29,MW2044B19101,ANZ,NULL,18,NULL,A17344,3.24E+00,8.00E-04,18411,NULL,268,0.00002
1789017,2026/8/12 13:28,MW2045B47925,ANZ,NULL,18,NULL,A17344,3.23E+00,7.20E-04,18757,NULL,268,0.00018
1789016,2026/8/12 13:28,MW2044B19321,A22,NULL,5,NULL,A17344,3.24E+00,1.51E-03,18627,NULL,268,0.00045
1789015,2026/8/12 13:27,MW2045B50566,ANZ,NULL,18,NULL,A17344,3.23E+00,7.80E-04,18566,NULL,268,0.00019
1789014,2026/8/12 13:27,MW2045B50625,C23,NULL,23,NULL,A17344,3.23E+00,1.30E-03,18720,NULL,268,0.00062
1789013,2026/8/12 13:26,MW2044B19160,A26,NULL,9,NULL,A17344,3.24E+00,8.90E-04,18448,NULL,268,0.00085
1789012,2026/8/12 13:26,MW2045B50274,C22,NULL,22,NULL,A17344,3.24E+00,1.13E-03,18550,NULL,268,0.00076
1789011,2026/8/12 13:25,MW2044B19158,A26,NULL,9,NULL,A17344,3.24E+00,8.90E-04,18385,NULL,268,0.00037
1789010,2026/8/12 13:25,MW2044B20340,ANZ,NULL,18,NULL,A11124,3.24E+00,7.80E-04,18465,NULL,268,0.00054
1789009,2026/8/12 13:25,MW2044B16615,A21,NULL,4,NULL,A11124,3.24E+00,1.09E-03,18473,NULL,268,0.0004
1789008,2026/8/12 13:24,MW2044B20336,ANZ,NULL,18,NULL,A11124,3.24E+00,7.40E-04,18589,NULL,268,0.00022
1789007,2026/8/12 13:24,MW2045B48372,A27,NULL,10,NULL,A11124,3.24E+00,8.10E-04,18402,NULL,268,0.00017
1789006,2026/8/12 13:23,MW2044B20257,A22,NULL,5,NULL,A11124,3.24E+00,1.43E-03,18595,NULL,268,0.00034
1789005,2026/8/12 13:23,MW2044B20254,A23,NULL,6,NULL,A11124,3.24E+00,9.00E-04,18421,NULL,268,0.00046
1789004,2026/8/12 13:22,MW2044B20258,A22,NULL,5,NULL,A11124,3.24E+00,1.43E-03,18541,NULL,268,0.0004
1789003,2026/8/12 13:22,MW2044B20341,ANZ,NULL,18,NULL,A11124,3.24E+00,7.70E-04,18377,NULL,268,0.00016
1789002,2026/8/12 13:21,MW2044B20342,ANZ,NULL,18,NULL,A11124,3.24E+00,7.40E-04,18392,NULL,268,0.00007
1789001,2026/8/12 13:21,MW2045B50626,A23,NULL,6,NULL,A11124,3.24E+00,1.26E-03,18615,NULL,268,0.00077
1789000,2026/8/12 13:21,MW2044B20343,ANZ,NULL,18,NULL,A11124,3.24E+00,8.00E-04,18310,NULL,268,0.00004
1788999,2026/8/12 13:20,MW2044B19343,A25,NULL,8,NULL,A11124,3.24E+00,9.50E-04,18543,NULL,268,0.00031
1788998,2026/8/12 13:20,MW2044B14147,A26,NULL,9,NULL,A18568,3.24E+00,8.30E-04,18646,NULL,268,0.00097
1788997,2026/8/12 13:19,MW2044B14145,A26,NULL,9,NULL,A18568,3.24E+00,8.60E-04,18669,NULL,268,0.00033
1788996,2026/8/12 13:19,MW2044B14146,A26,NULL,9,NULL,A18568,3.24E+00,8.40E-04,18817,NULL,268,0.00061
1788995,2026/8/12 13:18,MW2044B18502,A26,NULL,9,NULL,A18568,3.24E+00,1.06E-03,18681,NULL,268,0.00092
1788994,2026/8/12 13:18,MW2045B46432,ANZ,NULL,18,NULL,A18568,3.24E+00,7.40E-04,18723,NULL,268,0.00058
1788993,2026/8/12 13:17,MW2044B18644,A25,NULL,8,NULL,A18568,3.24E+00,9.60E-04,18637,NULL,268,0.00051
1788992,2026/8/12 13:17,MW2044B12920,A24,NULL,7,NULL,A18568,3.24E+00,9.30E-04,18536,NULL,268,0.00069
1788991,2026/8/12 13:15,MW2044B18645,A24,NULL,7,NULL,A18568,3.24E+00,1.09E-03,18726,NULL,268,0.00072
1788990,2026/8/12 13:15,MW2044B18650,A26,NULL,9,NULL,A18568,3.24E+00,9.00E-04,18613,NULL,268,0.0009
1788989,2026/8/12 13:14,MW2044B18646,A24,NULL,7,NULL,A18568,3.24E+00,1.06E-03,18535,NULL,268,0.00053
1788988,2026/8/12 13:14,MW2044B13073,C23,NULL,23,NULL,A18568,3.24E+00,9.20E-04,18647,NULL,268,0.0004
1788987,2026/8/12 13:13,MW2044B07756,A25,NULL,8,                    ,A21759,3.24E+00,1.03E-03,18378,NULL,268,0.00095
1788986,2026/8/12 13:13,MW2044B18649,A25,NULL,8,NULL,A18568,3.24E+00,9.90E-04,18579,NULL,268,0.00091
1788985,2026/8/12 13:13,MW2044B19591,A23,NULL,6,                    ,A21759,3.24E+00,1.39E-03,18436,NULL,268,0.00039
1788984,2026/8/12 13:13,MW2045B50386,ANZ,NULL,18,NULL,A12091,3.24E+00,7.70E-04,18676,NULL,268,0.00032
1788983,2026/8/12 13:13,MW2044B13162,A24,NULL,7,                    ,A14360,3.24E+00,8.90E-04,18251,NULL,268,0.00045
1788982,2026/8/12 13:12,MW2045B50313,ANZ,NULL,18,NULL,A12091,3.24E+00,7.90E-04,18649,NULL,268,0.00031
1788981,2026/8/12 13:12,MW2044B13163,A25,NULL,8,                    ,A14360,3.24E+00,8.50E-04,18471,NULL,268,0.00082
1788980,2026/8/12 13:12,MW2045B50330,A21,NULL,4,NULL,A12091,3.24E+00,1.46E-03,18658,NULL,268,0.00066
1788979,2026/8/12 13:12,MW2044B13165,A22,NULL,5,                    ,A14360,3.24E+00,1.07E-03,18036,NULL,268,0.00075
1788978,2026/8/12 13:12,MW2044B18962,B23,NULL,13,NULL,A12091,3.24E+00,9.10E-04,18718,NULL,268,0.00003
1788977,2026/8/12 13:12,MW2044B13166,A24,NULL,7,                    ,A14360,3.24E+00,8.90E-04,18315,NULL,268,0.00025
1788976,2026/8/12 13:11,MW2044B13151,A22,NULL,5,                    ,A14360,3.24E+00,1.02E-03,18121,NULL,268,0.00013
1788975,2026/8/12 13:11,MW2045B50333,ANZ,NULL,18,NULL,A12091,3.24E+00,7.50E-04,18651,NULL,268,0.00028
1788974,2026/8/12 13:11,MW2044B09462,A23,NULL,6,                    ,A14360,3.24E+00,8.80E-04,18224,NULL,268,0.00098
1788973,2026/8/12 13:11,MW2045B50361,ANZ,NULL,18,NULL,A12091,3.23E+00,7.60E-04,18671,NULL,268,0.0001
1788972,2026/8/12 13:10,MW2045B48426,A25,NULL,8,                    ,A14360,3.24E+00,9.70E-04,18235,NULL,268,0.00069
1788971,2026/8/12 13:10,MW2044B20273,ANZ,NULL,18,NULL,A12091,3.23E+00,7.80E-04,18556,NULL,268,0.00038
1788970,2026/8/12 13:10,MW2045B49690,B22,NULL,12,                    ,A14360,3.24E+00,8.90E-04,17998,NULL,268,0.00079
1788969,2026/8/12 13:10,MW2044B20253,A22,NULL,5,NULL,A12091,3.24E+00,1.34E-03,18570,NULL,268,0.00088
1788968,2026/8/12 13:10,MW2045B49689,A23,NULL,6,                    ,A14360,3.24E+00,8.60E-04,18100,NULL,268,0.00078
1788967,2026/8/12 13:09,MW2044B19290,A22,NULL,5,NULL,A12091,3.24E+00,1.24E-03,18528,NULL,268,0.00036
1788966,2026/8/12 13:09,MW2045B49684,B21,NULL,11,                    ,A14360,3.24E+00,8.80E-04,17736,NULL,268,0.00018
1788965,2026/8/12 13:09,MW2045B45276,A23,NULL,6,NULL,A12091,3.24E+00,1.55E-03,18795,NULL,268,0.00033
1788964,2026/8/12 13:09,MW2045B47946,A26,NULL,9,                    ,A14360,3.24E+00,9.10E-04,18253,NULL,268,0.00025
1788963,2026/8/12 13:08,MW2044B19104,A26,NULL,9,NULL,A12091,3.24E+00,8.20E-04,18419,NULL,268,0.0009
1788962,2026/8/12 13:08,MW2044B19157,A26,NULL,9,                    ,A14360,3.24E+00,1.03E-03,18242,NULL,268,0.00045
1788961,2026/8/12 13:08,MW2044B19105,A25,NULL,8,NULL,A12091,3.24E+00,8.40E-04,18543,NULL,268,0.00018
1788960,2026/8/12 13:08,MW2044B20787,A23,NULL,6,                    ,A11447,3.24E+00,1.20E-03,18307,NULL,268,0.00092
1788959,2026/8/12 13:08,MW2044B18782,D23,NULL,29,                    ,A11447,3.24E+00,1.12E-03,18166,NULL,268,0.0004
1788958,2026/8/12 13:07,MW2044B19458,ANZ,NULL,18,NULL,A24808,3.24E+00,7.70E-04,18609,NULL,268,0.00095
1788957,2026/8/12 13:07,MW2044B19586,A23,NULL,6,                    ,A11447,3.24E+00,1.14E-03,18256,NULL,268,0.00031
1788956,2026/8/12 13:07,MW2044B19453,ANZ,NULL,18,NULL,A24808,3.24E+00,7.40E-04,18495,NULL,268,0.00035
1788955,2026/8/12 13:07,MW2044B20760,C25,NULL,25,                    ,A11447,3.24E+00,1.09E-03,18295,NULL,268,0.00083
1788954,2026/8/12 13:07,MW2044B19456,ANZ,NULL,18,NULL,A24808,3.24E+00,7.70E-04,18520,NULL,268,0.00055
1788953,2026/8/12 13:06,MW2044B16685,C26,NULL,26,                    ,A11447,3.23E+00,8.50E-04,18471,NULL,268,0.00086
1788952,2026/8/12 13:06,MW2044B19455,ANZ,NULL,18,NULL,A24808,3.24E+00,7.70E-04,18511,NULL,268,0.00052
1788951,2026/8/12 13:06,MW2044B16676,C26,NULL,26,                    ,A11447,3.24E+00,8.70E-04,18445,NULL,268,0.00011
1788950,2026/8/12 13:06,MW2045B43190,C26,NULL,26,NULL,A24808,3.24E+00,1.01E-03,18645,NULL,268,0.00095
1788949,2026/8/12 13:05,MW2044B07759,A25,NULL,8,                    ,A11447,3.24E+00,9.80E-04,18255,NULL,268,0.00012
1788948,2026/8/12 13:05,MW2045B46948,A26,NULL,9,NULL,A24808,3.24E+00,8.40E-04,18863,NULL,268,0.00077
1788947,2026/8/12 13:05,MW2044B12979,A24,NULL,7,                    ,A11447,3.24E+00,1.02E-03,18035,NULL,268,0.00093
1788946,2026/8/12 13:05,MW2045B46952,C26,NULL,26,NULL,A24808,3.24E+00,8.50E-04,18863,NULL,268,0.00058
1788945,2026/8/12 13:05,MW2044B07772,A23,NULL,6,                    ,A11447,3.24E+00,1.19E-03,18258,NULL,268,0.00074
1788944,2026/8/12 13:04,MW2044B07841,A24,NULL,7,NULL,A24808,3.24E+00,9.40E-04,18501,NULL,268,0.0005
1788943,2026/8/12 13:04,MW2044B12978,C23,NULL,23,                    ,A11447,3.24E+00,1.08E-03,18166,NULL,268,0.00099
1788942,2026/8/12 13:04,MW2045B46946,A25,NULL,8,NULL,A24808,3.24E+00,8.10E-04,18757,NULL,268,0.00028
1788941,2026/8/12 13:04,MW2044B07773,A23,NULL,6,                    ,A11447,3.24E+00,1.17E-03,18211,NULL,268,0.00061
1788940,2026/8/12 13:03,MW2044B07842,A23,NULL,6,NULL,A24808,3.24E+00,1.02E-03,18557,NULL,268,0.00034
1788939,2026/8/12 13:03,MW2044B07774,A23,NULL,6,                    ,A11447,3.24E+00,1.19E-03,18323,NULL,268,0.00031
1788938,2026/8/12 13:03,MW2044B07843,A23,NULL,6,NULL,A24808,3.24E+00,1.01E-03,18456,NULL,268,0.00008
1788937,2026/8/12 13:02,MW2045B43983,C25,NULL,25,NULL,A24808,3.24E+00,1.00E-03,18742,NULL,268,0.00019
1788936,2026/8/12 13:02,MW2045B43600,A24,NULL,7,                    ,A01391,3.24E+00,1.04E-03,18219,NULL,268,0.00026
1788935,2026/8/12 13:01,MW2045B43601,A24,NULL,7,                    ,A01391,3.24E+00,1.10E-03,18224,NULL,268,0.00055
1788934,2026/8/12 13:01,MW2045B43599,A24,NULL,7,NULL,A00823,3.24E+00,1.03E-03,18524,NULL,268,0.00092
1788933,2026/8/12 13:01,MW2044B19997,A26,NULL,9,                    ,A01391,3.24E+00,8.70E-04,18239,NULL,268,0.00093
1788932,2026/8/12 13:01,MW2044B18944,A26,NULL,9,NULL,A00823,3.24E+00,8.50E-04,18781,NULL,268,0.00021
1788931,2026/8/12 13:01,MW2044B18570,A27,NULL,10,                    ,A01391,3.24E+00,9.50E-04,18358,NULL,268,0.00033
1788930,2026/8/12 13:00,MW2045B43597,C24,NULL,24,NULL,A00823,3.24E+00,1.03E-03,18759,NULL,268,0.00088
1788929,2026/8/12 13:00,MW2045B43603,A24,NULL,7,                    ,A01391,3.24E+00,8.90E-04,18221,NULL,268,0.0006
1788928,2026/8/12 13:00,MW2044B18584,A25,NULL,8,NULL,A00823,3.24E+00,1.03E-03,18619,NULL,268,0.00028
1788927,2026/8/12 13:00,MW2045B43604,A24,NULL,7,                    ,A01391,3.24E+00,1.03E-03,18152,NULL,268,0.00059
1788926,2026/8/12 12:59,MW2045B46959,ANZ,NULL,18,NULL,A00823,3.24E+00,7.70E-04,18569,NULL,268,0.00063
1788925,2026/8/12 12:59,MW2045B43605,C23,NULL,23,                    ,A01391,3.24E+00,4.62E-03,18159,NULL,268,0.00058
1788924,2026/8/12 12:59,MW2044B19200,A26,NULL,9,NULL,A00823,3.24E+00,8.60E-04,18546,NULL,268,0.00014
1788923,2026/8/12 12:59,MW2044B07811,A23,NULL,6,                    ,A01391,3.24E+00,1.21E-03,18302,NULL,268,0.00071
1788922,2026/8/12 12:59,MW2045B43185,A27,NULL,10,NULL,A00823,3.24E+00,8.60E-04,18845,NULL,268,0.00051
1788921,2026/8/12 12:58,MW2044B07812,A23,NULL,6,                    ,A01391,3.24E+00,1.14E-03,18270,NULL,268,0.0003
1788920,2026/8/12 12:58,MW2045B43186,A25,NULL,8,NULL,A00823,3.24E+00,1.03E-03,18813,NULL,268,0.00069
1788919,2026/8/12 12:58,MW2044B07813,A22,NULL,5,                    ,A01391,3.24E+00,1.17E-03,18314,NULL,268,0.00099
1788918,2026/8/12 12:58,MW2045B43187,A26,NULL,9,NULL,A00823,3.24E+00,1.02E-03,18629,NULL,268,0.00002
1788917,2026/8/12 12:58,MW2044B07814,A23,NULL,6,                    ,A01391,3.24E+00,1.18E-03,18259,NULL,268,0.0008
1788916,2026/8/12 12:57,MW2045B44462,A24,NULL,7,NULL,A00823,3.24E+00,1.02E-03,18635,NULL,268,0.00023
1788915,2026/8/12 12:57,MW2045B43607,C24,NULL,24,                    ,A01391,3.24E+00,1.09E-03,18135,NULL,268,0.00099
1788914,2026/8/12 12:57,MW2045B43188,A26,NULL,9,NULL,A00823,3.24E+00,1.04E-03,18764,NULL,268,0.00002
1788913,2026/8/12 12:56,MW2044B18723,A21,NULL,4,                    ,A19565,3.24E+00,1.45E-03,18160,NULL,268,0.00059
1788912,2026/8/12 12:56,MW2045B43189,C25,NULL,25,NULL,A00823,3.24E+00,1.02E-03,18870,NULL,268,0.00067
1788911,2026/8/12 12:55,MW2044B19566,A22,NULL,5,                    ,A19565,3.24E+00,1.35E-03,18343,NULL,268,0.00079
1788910,2026/8/12 12:55,MW2044B19488,C26,NULL,26,NULL,A13140,3.24E+00,8.80E-04,18613,NULL,268,0.00088
1788909,2026/8/12 12:55,MW2044B18724,A25,NULL,8,                    ,A19565,3.24E+00,9.90E-04,18223,NULL,268,0.0005
1788908,2026/8/12 12:55,MW2044B20839,C23,NULL,23,NULL,A13140,3.24E+00,1.01E-03,18716,NULL,268,0.00052
1788907,2026/8/12 12:55,MW2044B19564,A22,NULL,5,                    ,A19565,3.24E+00,1.38E-03,18373,NULL,268,0.00016
1788906,2026/8/12 12:54,MW2044B19489,C25,NULL,25,NULL,A13140,3.24E+00,9.30E-04,18604,NULL,268,0.00027
1788905,2026/8/12 12:54,MW2044B19562,A22,NULL,5,                    ,A19565,3.24E+00,1.32E-03,18308,NULL,268,0.0009
1788904,2026/8/12 12:54,MW2044B19490,C26,NULL,26,NULL,A13140,3.24E+00,8.70E-04,18585,NULL,268,0.00041
1788903,2026/8/12 12:54,MW2045B44089,A22,NULL,5,                    ,A19565,3.24E+00,1.08E-03,18342,NULL,268,0.00079
1788902,2026/8/12 12:54,MW2044B19491,C25,NULL,25,NULL,A13140,3.24E+00,9.10E-04,18606,NULL,268,0.00001
1788901,2026/8/12 12:53,MW2044B19525,A21,NULL,4,                    ,A19565,3.24E+00,1.52E-03,18338,NULL,268,0.00005
1788900,2026/8/12 12:53,MW2044B13126,ANZ,NULL,18,NULL,A13140,3.24E+00,7.80E-04,18590,NULL,268,0.00096
1788899,2026/8/12 12:53,MW2044B19527,A21,NULL,4,                    ,A19565,3.24E+00,1.53E-03,18390,NULL,268,0.00019
1788898,2026/8/12 12:53,MW2044B19492,C25,NULL,25,NULL,A13140,3.24E+00,9.00E-04,18639,NULL,268,0.00027
1788897,2026/8/12 12:53,MW2044B19528,A22,NULL,5,                    ,A19565,3.24E+00,1.49E-03,18247,NULL,268,0.00071
1788896,2026/8/12 12:52,MW2044B19808,A26,NULL,9,NULL,A13140,3.24E+00,8.40E-04,18544,NULL,268,0.00062
1788895,2026/8/12 12:52,MW2044B19529,A21,NULL,4,                    ,A19565,3.24E+00,1.52E-03,18309,NULL,268,0.00068
1788894,2026/8/12 12:52,MW2044B19493,C25,NULL,25,NULL,A13140,3.24E+00,9.10E-04,18567,NULL,268,0.00022
1788893,2026/8/12 12:52,MW2045B44081,A27,NULL,10,                    ,A19565,3.24E+00,8.50E-04,18321,NULL,268,0.00075
